,Sentence,Question,Answer,Num_Tokens_In_Answer,Num_Tokens_In_Sentence,Num_Token_Match_Question,Percentage_Token_In_Answer,Percentage_Token_In_Out_Answer,Answer_Capitalized_Word_Density,ANSWER_STOPWORD_DENSITY,ANSWER_ENDS_WITH_QUANTIFIER,ANSWER_STARTS_WITH_QUANTIFIER,ANSWER_QUANTIFIER_DENSITY,PERCENT_CAPITALIZED_WORDS_IN_ANSWER,PERCENT_PRONOMINALS_IN_ANSWER,SENTENCE_STARTS_WITH_DISCOURSE_CONNECTIVE,GRAM_AFTER_ANSWER_quoation,GRAM_AFTER_ANSWER_comma,GRAM_AFTER_ANSWER_LRB,GRAM_AFTER_ANSWER_RRB,GRAM_AFTER_ANSWER_Stop,GRAM_AFTER_ANSWER_Colon,GRAM_AFTER_ANSWER_CC,GRAM_AFTER_ANSWER_CD,GRAM_AFTER_ANSWER_DT,GRAM_AFTER_ANSWER_EX,GRAM_AFTER_ANSWER_IN,GRAM_AFTER_ANSWER_JJ,GRAM_AFTER_ANSWER_JJR,GRAM_AFTER_ANSWER_JJS,GRAM_AFTER_ANSWER_MD,GRAM_AFTER_ANSWER_NN,GRAM_AFTER_ANSWER_NNP,GRAM_AFTER_ANSWER_NNPS,GRAM_AFTER_ANSWER_NNS,GRAM_AFTER_ANSWER_POS,GRAM_AFTER_ANSWER_PRP,GRAM_AFTER_ANSWER_RB,GRAM_AFTER_ANSWER_RBR,GRAM_AFTER_ANSWER_RBS,GRAM_AFTER_ANSWER_RP,GRAM_AFTER_ANSWER_TO,GRAM_AFTER_ANSWER_VB,GRAM_AFTER_ANSWER_VBD,GRAM_AFTER_ANSWER_VBG,GRAM_AFTER_ANSWER_VBN,GRAM_AFTER_ANSWER_VBP,GRAM_AFTER_ANSWER_VBZ,GRAM_AFTER_ANSWER_WDT,GRAM_AFTER_ANSWER_WP,GRAM_AFTER_ANSWER_WRB,GRAM_BEFORE_ANSWER_Comma,GRAM_BEFORE_ANSWER_LRB,GRAM_BEFORE_ANSWER_RRB,GRAM_BEFORE_ANSWER_Colon,GRAM_BEFORE_ANSWER_CC,GRAM_BEFORE_ANSWER_CD,GRAM_BEFORE_ANSWER_DT,GRAM_BEFORE_ANSWER_EX,GRAM_BEFORE_ANSWER_IN,GRAM_BEFORE_ANSWER_JJ,GRAM_BEFORE_ANSWER_MD,GRAM_BEFORE_ANSWER_NN,GRAM_BEFORE_ANSWER_NNP,GRAM_BEFORE_ANSWER_NNPS,GRAM_BEFORE_ANSWER_NNS,GRAM_BEFORE_ANSWER_POS,GRAM_BEFORE_ANSWER_PRP$,GRAM_BEFORE_ANSWER_RB,GRAM_BEFORE_ANSWER_RBS,GRAM_BEFORE_ANSWER_RP,GRAM_BEFORE_ANSWER_TO,GRAM_BEFORE_ANSWER_VB,GRAM_BEFORE_ANSWER_VBD,GRAM_BEFORE_ANSWER_VBG,GRAM_BEFORE_ANSWER_VBN,GRAM_BEFORE_ANSWER_VBP,GRAM_BEFORE_ANSWER_VBZ,GRAM_BEFORE_ANSWER_WDT,GRAM_BEFORE_ANSWER_WP,GRAM_BEFORE_ANSWER_WRB,GRAM_IN_ANSWER_COUNT_Quotation,GRAM_IN_ANSWER_COUNT_Comma,GRAM_IN_ANSWER_COUNT_LRB,GRAM_IN_ANSWER_COUNT_RRB,GRAM_IN_ANSWER_COUNT_Colon,GRAM_IN_ANSWER_COUNT_CC,GRAM_IN_ANSWER_COUNT_CD,GRAM_IN_ANSWER_COUNT_DT,GRAM_IN_ANSWER_COUNT_EX,GRAM_IN_ANSWER_COUNT_IN,GRAM_IN_ANSWER_COUNT_JJ,GRAM_IN_ANSWER_COUNT_JJR,GRAM_IN_ANSWER_COUNT_JJS,GRAM_IN_ANSWER_COUNT_MD,GRAM_IN_ANSWER_COUNT_NN,GRAM_IN_ANSWER_COUNT_NNP,GRAM_IN_ANSWER_COUNT_NNPS,GRAM_IN_ANSWER_COUNT_NNS,GRAM_IN_ANSWER_COUNT_POS,GRAM_IN_ANSWER_COUNT_PRP,GRAM_IN_ANSWER_COUNT_PRP$,GRAM_IN_ANSWER_COUNT_RB,GRAM_IN_ANSWER_COUNT_RBR,GRAM_IN_ANSWER_COUNT_RBS,GRAM_IN_ANSWER_COUNT_RP,GRAM_IN_ANSWER_COUNT_TO,GRAM_IN_ANSWER_COUNT_VB,GRAM_IN_ANSWER_COUNT_VBD,GRAM_IN_ANSWER_COUNT_VBG,GRAM_IN_ANSWER_COUNT_VBN,GRAM_IN_ANSWER_COUNT_VBP,GRAM_IN_ANSWER_COUNT_VBZ,GRAM_IN_ANSWER_COUNT_WDT,GRAM_IN_ANSWER_COUNT_WP,GRAM_IN_ANSWER_COUNT_WP$,GRAM_IN_ANSWER_COUNT_WRB,NAMED_ENTITY_IN_ANSWER_COUNT_PERS,NAMED_ENTITY_IN_ANSWER_COUNT_ORG,NAMED_ENTITY_IN_ANSWER_COUNT_LOC,NAMED_ENTITY_OUT_ANSWER_COUNT_PERS,NAMED_ENTITY_OUT_ANSWER_COUNT_ORG,NAMED_ENTITY_OUT_ANSWER_COUNT_LOC,NUM_NAMED_ENTITIES_IN_ANSWER,NUM_NAMED_ENTITIES_OUT_ANSWER,ANSWER_NAMED_ENTITY_DENSITY,QUESTION_NAMED_ENTITY_DENSITY
0,"In Dahlem , there are several museums of world art and culture, such as the Museum of Asian Art , the Ethnological Museum , the Museum of European Cultures , as well as the Allied Museum (a museum of the Cold War) and the Brücke Museum (an art museum).","In Dahlem , there are several museums of world art and culture, such as _ _ _ _ _  of Asian Art , the Ethnological Museum , the Museum of European Cultures , as well as the Allied Museum (a museum of the Cold War) and the Brücke Museum (an art museum).",the Museum,2,52,2,0.037037037037037035,0.038461538461538464,0.0,0.5,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9,0.0,0.1836734693877551
1,"Of the twenty languages with the largest numbers of native speakers according to SIL Ethnologue , twelve are Indo-European: Spanish , English , Hindi , Portuguese , Bengali , Russian , German , Marathi , French , Italian , Punjabi , and Urdu , accounting for over 2.7 billion native speakers.","Of the twenty languages with the largest numbers of native speakers according to SIL Ethnologue , twelve are Indo-European: Spanish , English , Hindi , Portuguese , Bengali , Russian , German , Marathi , French , Italian , Punjabi , and _ _  , accounting for over 2.7 billion native speakers.",Urdu,1,52,0,0.018867924528301886,0.019230769230769232,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0.0196078431372549
2,This change of direction was compared to punk and in the late 1970s became known as the New Wave of British Heavy Metal (NWOBHM).,This change of direction was compared to _ _  and in the late 1970s became known as the New Wave of British Heavy Metal (NWOBHM).,punk,1,25,0,0.038461538461538464,0.04,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
3,The operative attitude may have been summed up best by the response Leiber and Stoller received when they brought a serious film project for Presley to Parker and the Hill and Range owners for their consideration.,The operative attitude may have been summed up best by the response Leiber and Stoller received when _ _  brought a serious film project for Presley to Parker and the Hill and Range owners for their consideration.,they,1,37,0,0.02631578947368421,0.02702702702702703,0.0,1.0,0,0,0.0,0.0,0.02702702702702703,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0.0,0.1111111111111111
4,"Because of the positive void coefficient of the RBMK reactor at low reactor power levels, it was now primed to embark on a positive feedback loop, in which the formation of steam voids reduced the ability of the liquid water coolant to absorb neutrons, which in turn increased the reactor's power output.","Because of the positive void coefficient of the RBMK reactor at low reactor power levels, _  was now primed to embark on a positive feedback loop, in which the formation of steam voids reduced the ability of the liquid water coolant to absorb neutrons, which in turn increased the reactor's power output.",it,1,52,1,0.018867924528301886,0.019230769230769232,0.0,1.0,0,0,0.0,0.0,0.017543859649122806,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
5,The success of the First Opium War allowed the British to resume the opium trade with China.,The success of the First Opium War allowed the British to resume _ _ _ _ _ _ _ _ with China.,the opium trade,3,22,1,0.12,0.13636363636363635,0.0,0.3333333333333333,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
6,"A few fudai daimyo, such as the Ii of Hikone , held large han, but many were small.","A few fudai daimyo, such as the Ii of Hikone , held _ _ _ _ _, but many were small.",large han,2,21,0,0.08695652173913043,0.09523809523809523,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0.05555555555555555
7,"Over the years, the length of the interval has increased, which may be the result of earthquakes affecting subterranean water levels.","Over the years, the length of the interval has _ _ _ _ _, which may be the result of earthquakes affecting subterranean water levels.",increased,1,25,0,0.038461538461538464,0.04,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
8,"These areas have been affected by some of the many invasions of North Africa, most recently that of the French .",These areas have been affected by some of _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _  .,"the many invasions of North Africa, most recently that of the French",12,43,2,0.21818181818181817,0.27906976744186046,0.0,0.5,0,0,0.08333333333333333,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,2,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
9,One kind of barrier ( snow net ) uses a net strung between poles that are anchored by guy wires in addition to their foundations.,One kind of barrier ( snow net ) uses _ _ _ _ _ _  between poles that are anchored by guy wires in addition to their foundations.,a net strung,3,28,2,0.0967741935483871,0.10714285714285714,0.0,0.3333333333333333,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
